Name,poiID,resourceId
钢琴博物馆,10558938,48712
海天堂构,88593,67695
皓月园,77344,8614
风琴博物馆,10559510,133087
百鸟园,92353,118906
厦门海底世界,77347,8619
万国建筑博览,77348,8620
鼓浪屿环岛路,10558653,8623
郑成功纪念馆,82681,48714
毓园,77345,8617
琴园,77346,8618
鼓浪屿音乐厅,10558652,8621
三一堂,92354,118907
笔山洞,13765314,1464491
龙山洞,13764570,1463752
金瓜楼,92358,118956
番婆楼,95948,134024
国际刻字艺术馆,82676,48709
贝壳梦幻世界,13622488,1416078
鼓浪屿环岛海滨浴场,77352,8624
林语堂故居,95947,134023
红地毯趣味蜡像馆,10548111,142068
鼓浪屿名人蜡像馆,82680,48713
黄荣远堂,92355,118921
水操台,95945,134021
四落大厝,95942,134018
东方鱼骨艺术馆,95080,133086
亦足山庄,95944,134020
鼓浪屿中华路,10523877,147936
怀旧鼓浪屿博物馆,95951,134027
时钟楼,95949,134025
百年鼓浪屿博物馆,10800972,1409304
钢琴码头,13794595,1470156
珍奇博物馆,82682,48720
港仔后海滨浴场,13794286,1469869
燕尾山生态公园,10523878,147937
鼓浪石,13759721,1462716
观彩楼,95946,134022
汇丰银行公馆,100336,139397
人民体育场,13789618,1468443
美国领事馆旧址,13805868,1473054
四十四桥,13760192,1461143
古避暑洞,13835713,1477426
原英国领事馆,13765078,1461310
大德记浴场,13826476,1476808
老厦门故事馆,13789661,1468604
十二洞天,13765322,1464501
厦门音乐学校,13794275,1469749
福建路,13794139,1469753
原日本领事馆,13764951,1464161
协和礼拜堂,13835620,1477397
弘一大师纪念馆,13805691,1473049
福州大学厦门工艺美院鼓浪屿校区,13790117,1468768
林巧稚纪念馆,13798906,1472192
笔山公园,13764945,1464156
宁远楼,13793934,1469567
福音堂,13794505,1470078
鼓声洞,13764766,1463754
林祖密故居,13806462,1473664
鼓浪屿观复博物馆,23456801,1753657
颠倒摄影馆,30283212,1981685
许家园,13806492,1473772
种德宫,13835693,1477421
殷承宗琴屋,13826396,1476755
林屋,13806341,1473648
复兴堂,13799058,1472374
心跳馆,18137348,1509371
魔觉4D体验馆,15046102,1481057
鼓浪屿沙滩,24649892,1830786
春草堂,13806324,1473028
安献堂,13794604,1470080
陈士京墓,13806470,1473777
故宫鼓浪屿外国文物馆,34299342,2490465
英雄山,13811308,1474956
延平公园,13835496,1477340
李清泉别墅,22866884,1714396
厦门市第二中学鼓浪屿校区,24652519,1833265
菽庄花园,75845,2346
鼓浪屿,10524162,57405